method,band,K,acc_mean,acc_std,n_subjects,dataset,protocol,published_in
MDM,alpha,,50.56,1.63,34,Team Metrics,LOSO,NAT26 Berlin 2026
MDM,theta,,51.34,2.15,34,Team Metrics,LOSO,NAT26 Berlin 2026
RCT,alpha,0,57.74,2.56,34,Team Metrics,LOSO,NAT26 Berlin 2026
RCT,theta,0,57.94,3.46,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,1,63.11,4.04,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,2,65.80,4.55,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,3,67.92,4.98,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,4,69.65,5.45,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,5,71.17,5.79,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,6,72.62,6.23,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,7,74.31,6.29,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,8,75.61,6.30,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,9,76.60,6.46,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,alpha,10,77.73,6.39,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,1,60.61,3.42,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,2,62.91,4.07,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,3,64.87,4.88,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,4,66.50,5.42,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,5,68.24,5.57,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,6,69.88,5.80,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,7,71.10,6.10,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,8,72.14,6.16,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,9,73.15,6.21,34,Team Metrics,LOSO,NAT26 Berlin 2026
LGC-RCT,theta,10,73.91,6.05,34,Team Metrics,LOSO,NAT26 Berlin 2026
